
	Console			Probe  1									Probe  2									Probe  3									Probe  4									Probe  5									Probe  6									Probe  7									Probe  8									IO  1								
	Mode	Total Amps		Temp	Error	Status	Speed	Power	Amps	Max	Min		Temp	Error	Status	Speed	Power	Amps	Max	Min		Temp	Error	Status	Speed	Power	Amps	Max	Min		Temp	Error	Status	Speed	Power	Amps	Max	Min		Temp	Error	Status	Speed	Power	Amps	Max	Min		Temp	Error	Status	Speed	Power	Amps	Max	Min		Temp	Error	Status	Speed	Power	Amps	Max	Min		Temp	Error	Status	Speed	Power	Amps	Max	Min		Temp	Error	Status	-	Output	-	Max	Min	
Tue Sep 17 14:05:03 2019	STOPPED	0.0		22.5	-100	NONE	A-F	0.0	0.00	22.5	0.0		0.0	-100	N/Z	A	0.0	0.00	0.0	0.0		0.0	0	N/Z	A	0.0	0.00	0.0	0.0		0.0	0	N/Z	A	0.0	0.00	0.0	0.0		472.0	100	    	A	0.0	0.00	472.0	0.0		0.0	0	N/Z	A	0.0	0.00	0.0	0.0		0.0	0	N/Z	A	0.0	0.00	0.0	0.0		0.0	0	N/Z	A	0.0	0.00	0.0	0.0		0.0	-24	N/Z		0000		0.0	0.0	
	STOPPED	0.0		22.5	-100	    	A-F	0.0	0.00	22.5	22.5		22.0	-100	    	A-F	0.0	0.00	22.0	0.0		472.0	100	T/C	A	0.0	0.00	472.0	0.0		472.0	100	T/C	A	0.0	0.00	472.0	0.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	0.0		0.0	0	N/Z	A	0.0	0.00	0.0	0.0		0.0	0	N/Z	A	0.0	0.00	0.0	0.0		0.0	-24	N/Z		0000		0.0	0.0	
	RUN	0.2		23.0	-100	ALRM	A-F	8.0	0.11	23.0	22.5		23.8	-100	ALRM	A-F	8.0	0.13	23.8	22.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	0.0		472.0	100	T/C	A	0.0	0.00	472.0	0.0		26.0	2	    		0000		26.0	0.0	
	RUN	0.3		32.0	-100	ALRM	A-F	13.2	0.18	32.0	23.0		34.3	-100	ALRM	A-F	13.2	0.22	34.3	23.8		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		26.0	2	    		0000		26.0	26.0	
	RUN	0.5		44.6	-100	ALRM	A-F	16.4	0.22	44.6	32.0		45.0	-100	ALRM	A-F	16.4	0.27	45.0	34.3		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		26.0	2	    		0000		26.0	26.0	
	RUN	0.5		59.3	-100	ALRM	A-F	19.6	0.27	59.3	44.6		55.8	-100	ALRM	A-F	19.6	0.32	55.8	45.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		26.0	2	    		0000		26.0	26.0	
	RUN	0.6		75.6	-99	ALRM	A-F	22.8	0.31	75.6	59.3		67.2	-100	ALRM	A-F	22.8	0.38	67.2	55.8		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		26.0	2	    		0000		26.0	26.0	
	RUN	0.8		93.3	-81	ALRM	A-F	26.0	0.36	93.3	75.6		79.3	-95	ALRM	A-F	26.8	0.44	79.3	67.2		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		26.0	2	    		0000		26.0	26.0	
	RUN	0.9		112.1	-62	ALRM	A-F	29.2	0.40	112.1	93.3		92.0	-83	ALRM	A-F	30.0	0.50	92.0	79.3		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		26.0	2	    		0000		26.0	26.0	
